Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Status
StudioGraphic - Commercial Fascia Signs,Fascia Signs & Shopfronts,"commercial sign makers carlisle",Phrase,2.80,Enabled
StudioGraphic - Commercial Fascia Signs,Illuminated Sign Trays,[sign trays carlisle],Exact,3.80,Enabled
StudioGraphic - Commercial Fascia Signs,Illuminated Sign Trays,"sign trays carlisle",Phrase,3.00,Enabled
StudioGraphic - Commercial Fascia Signs,Illuminated Sign Trays,[illuminated sign trays carlisle],Exact,4.00,Enabled
StudioGraphic - Commercial Fascia Signs,Illuminated Sign Trays,"illuminated sign trays carlisle",Phrase,3.20,Enabled
StudioGraphic - Commercial Fascia Signs,Illuminated Sign Trays,"illuminated shop signs cumbria",Phrase,3.20,Enabled
StudioGraphic - Commercial Fascia Signs,Illuminated Sign Trays,"metal sign trays cumbria",Phrase,2.80,Enabled
StudioGraphic - Commercial Fascia Signs,Illuminated Sign Trays,"folded aluminium sign tray",Phrase,2.80,Enabled
StudioGraphic - Commercial Fascia Signs,3D Acrylic Letters & Plaques,[3d raised letters carlisle],Exact,3.50,Enabled
StudioGraphic - Commercial Fascia Signs,3D Acrylic Letters & Plaques,"3d raised letters carlisle",Phrase,2.80,Enabled
StudioGraphic - Commercial Fascia Signs,3D Acrylic Letters & Plaques,[acrylic laser cut signs],Exact,3.50,Enabled
StudioGraphic - Commercial Fascia Signs,3D Acrylic Letters & Plaques,"acrylic laser cut signs",Phrase,2.60,Enabled
StudioGraphic - Commercial Fascia Signs,3D Acrylic Letters & Plaques,"stand off wall letters carlisle",Phrase,2.60,Enabled
StudioGraphic - Commercial Fascia Signs,3D Acrylic Letters & Plaques,"office reception signage carlisle",Phrase,2.80,Enabled
StudioGraphic - Commercial Fascia Signs,3D Acrylic Letters & Plaques,"bespoke acrylic sign makers cumbria",Phrase,2.80,Enabled
StudioGraphic - Commercial Fascia Signs,Commercial Unit & Industrial Signs,[industrial unit signage carlisle],Exact,3.50,Enabled
StudioGraphic - Commercial Fascia Signs,Commercial Unit & Industrial Signs,"business park signs cumbria",Phrase,2.80,Enabled
StudioGraphic - Commercial Fascia Signs,Commercial Unit & Industrial Signs,"printed dibond signs carlisle",Phrase,2.60,Enabled
StudioGraphic - Commercial Fascia Signs,Commercial Unit & Industrial Signs,"aluminium composite signage cumbria",Phrase,2.60,Enabled
StudioGraphic - Commercial Banners,Scaffold Banners & Mesh,[scaffold banners carlisle],Exact,3.00,Enabled
StudioGraphic - Commercial Banners,Scaffold Banners & Mesh,"scaffold banners carlisle",Phrase,2.20,Enabled
StudioGraphic - Commercial Banners,Scaffold Banners & Mesh,[mesh banners for scaffolding],Exact,2.80,Enabled
StudioGraphic - Commercial Banners,Scaffold Banners & Mesh,"mesh banners for scaffolding",Phrase,2.20,Enabled
StudioGraphic - Commercial Banners,Scaffold Banners & Mesh,"scaffolding advertising banners cumbria",Phrase,2.40,Enabled
StudioGraphic - Commercial Banners,Scaffold Banners & Mesh,"windproof mesh banners carlisle",Phrase,2.20,Enabled
StudioGraphic - Commercial Banners,Scaffold Banners & Mesh,"construction site banners carlisle",Phrase,2.40,Enabled
StudioGraphic - Commercial Banners,PVC Outdoor Banners,[pvc banners carlisle],Exact,2.80,Enabled
StudioGraphic - Commercial Banners,PVC Outdoor Banners,"pvc banners carlisle",Phrase,2.00,Enabled
StudioGraphic - Commercial Banners,PVC Outdoor Banners,[outdoor banners carlisle],Exact,2.80,Enabled
StudioGraphic - Commercial Banners,PVC Outdoor Banners,"outdoor banners carlisle",Phrase,2.00,Enabled
StudioGraphic - Commercial Banners,PVC Outdoor Banners,"custom eyeleted banners cumbria",Phrase,2.20,Enabled
StudioGraphic - Commercial Banners,PVC Outdoor Banners,"heavy duty pvc banners carlisle",Phrase,2.20,Enabled
StudioGraphic - Commercial Banners,PVC Outdoor Banners,"commercial advertising banners cumbria",Phrase,2.20,Enabled
StudioGraphic - Commercial Banners,Roller & Pop Up Banners,[pull up banners carlisle],Exact,2.50,Enabled
StudioGraphic - Commercial Banners,Roller & Pop Up Banners,"pull up banners carlisle",Phrase,1.80,Enabled
StudioGraphic - Commercial Banners,Roller & Pop Up Banners,[roller banners carlisle],Exact,2.50,Enabled
StudioGraphic - Commercial Banners,Roller & Pop Up Banners,"roller banners carlisle",Phrase,1.80,Enabled
StudioGraphic - Commercial Banners,Roller & Pop Up Banners,"exhibition banners carlisle",Phrase,2.00,Enabled
StudioGraphic - Commercial Banners,Roller & Pop Up Banners,"trade show pop up banners cumbria",Phrase,2.00,Enabled
